Master Ball	0001
Rusty Shield	01E6
Adamant Orb	01E7
Lustrous Orb	01E8
Griseous Orb	01E9
Fist Plate	01EA
Sky Plate	01EB
Toxic Plate	01EC
Earth Plate	01ED
Stone Plate	01EE
Insect Plate	01EF
Spooky Plate	01F0
Iron Plate	01F1
Flame Plate	0115
Splash Plate	01F3
Meadow Plate	01F4
Zap Plate	01F5
Mind Plate	01F6
Icicle Plate	01F7
Draco Plate	01F8
Dread Plate	01F9
Pixie Plate	01FA
GracideaFlower	01DF
Bug Memory	0200
Ghost Memory	0201
Steel memory	0202
Fire Memory	0203
Water Memory	0204
Grass Memory	0205
Electric Memory	0206
Psychic Memory	0207
Ice Memory	0208
Dragon Memory	0209
Dark Memory	020A
Fairy Memory	020B
Fight Memory	01FB
Flying Memory	01FC
Poison Memory	01FD
Ground Memory	01FE
Rock Memory	01FF
Burn Drive	020C
Douse Drive	020D
Shock Drive	020E
Chill Drive	020F
Eternamax Orb	02EA
Red Orb	0114
Blue Orb	0115
Teal Mask	0270
Cornerstone mask	026D
Hearthflame mask	026E
Wellspring mask	026F
	
TM01 Close Combat	0121
TM02 Dragon Claw	0122
TM03 Flip Turn	0123
TM04 Calm Mind	0124
TM05 Roar	0125
TM06 Toxic	0126
TM07 Hail	0127
TM08 Bulk Up	0128
TM09 Bullet Seed	0129
TM10 Hidden Power	012A  
TM11 Sunny Day	012B  
TM12 Taunt	012C  
TM13 Ice Beam	012D  
TM14 Blizzard	012E  
TM15 Electroweb	012F  
TM16 Light Screen	0130
TM17 Protect	0131
TM18 Rain Dance	0132
TM19 Giga Drain	0133
TM20 Hyper Voice	0134
TM21 Frustration	0135
TM22 Solar Beam	0136
TM23 Iron Tail	0137
TM24 Thunderbolt	138
TM25 Thunder	0139
TM26 Earthquake	013A
TM27 Return	013B
TM28 Dig	013C  
TM29 Psychic	013D  
TM30 Shadow Ball	013E  
TM31 Brick Break	013F  
TM32 Solar Blade	0140
TM33 Reflect	0141
TM34 Teleport	0142
TM35 Flamethrower	0143
TM36 Sludge Bomb	0144
TM37 Sandstorm	0145
TM38 Fire Blast	0146
TM39 Rock Tomb	0147
TM40 Low kick	0148
TM41 Dragon Dance	0149
TM42 Facade	014A  
TM43 Defog	014B  
TM44 Rest	014C  
TM45 Drain Kiss	014D  
TM46 Thief	014E  
TM47 Steel Wing	014F  
TM48 Meteor Beam	0150
TM49 Leech Life	0151
TM50 Overheat	0152
TM51 Roost	0178
TM52 Focus Blast	0179
TM53 Energy Ball	017A
TM54 Grassy Glide	017B
TM55 Expand Force	017C
TM56 Hone Claws	017D
TM57 Charge Beam	017E
TM58 Rising Volt	017F
TM59 Dragon Pulse	0180
TM60 Drain Punch	0181
TM61 Will O Wisp	0182
TM62 Silver Wind	0183
TM63 Venoshock	0184
TM64 Explosion	0185
TM65 Shadow Claw	0186
TM66 Payback	0187
TM67 Poltergeist	0188
TM68 Giga Impact	0189
TM69 Rock Polish	018A
TM70 Triple Axel	018B
TM71 Stone Edge	018C
TM72 Draco Barrage	018D
TM73 Thunder Wave	018E
TM74 Gyro Ball	018F
TM75 Swords Dance	0190
TM76 Stealth Rock	0191
TM77 Flame Charge	0192
TM78 Low Sweep	0193
TM79 Dark Pulse	0194
TM80 Rock Slide	0195
TM81 X-Scissor	0196
TM82 Sleep Talk	0197
TM83 Scald	0198
TM84 Poison Jab	0199
TM85 Future Sight	019A
TM86 Grass Knot	019B
TM87 Aerial Ace	019C
TM88 Pluck	019D
TM89 U-Turn	019E
TM90 Substitute	019F
TM91 Flash Cannon	01A0
TM92 Volt Switch	01A1
TM93 Dragon Tail	01A2
TM94 Scale Shot	01A3
TM95 Cosmic Power	01A4
TM96 Bulldoze	01A5
TM97 Frost Breath	01A6
TM98 Work Up	01A7
TM99 Wild Charge	01A8
TM100 DualWingBeat	01A9
TM101 PowerUpPunch	01AA
TM102 Dazzling Gleam	01AB
TM103 Sludge Wave	01AC
TM104 Psyshock	01AD
TM105 Trailblaze	01AE
TM106 Acrobatics	01AF
TM107 Terrain Pulse	01B0
TM108 Snarl	01B1
TM109 Superpower	01B2
TM110 Scorch Sands	01B3
TM111 Smack Down	01B4
TM112 Misty Explode	01B5
TM113 Spikes	01B6
TM114 Heat Crash	01B7
TM115 Body Press	01B8
TM116 Trick Room	01B9
TM117 Brave Bird	01BA
TM118 Aurora Veil	01BB
TM119 Coaching	01BC
TM120 Ice Spinner	01BD
HM01 Cut	0153
HM02 Fly	0154
HM03 Surf	0155
HM04 Strength	0156
HM05 Flash	0157
HM06 Rock Smash	0158
HM07 Waterfall	0159
HM08 Rock Climb	015A
	
Red Shard	0030
Blue Shard	0031
Yellow Shard	0032
Green Shard	0033
TinyMushroom	0067
BigMushroom	0068
Heart Scale	006F
Bottle Cap	027F
wish pieces	0281

Root Fossil	011E
Claw Fossil	011F
Old Amber	0162
Helix Fossil	0165
Dome Fossil	0166
Skull Fossil	0274
Armor Fossil	0275
Cover Fossil	0276
Plume Fossil	0277
Jaw Fossil	0278
Sail Fossil	0279
Bird Fossil	027A
Fish Fossil	027B
Drake Fossil	027C
Dino Fossil	027D
	
	0215
	0216
	0217
	0218
	0219
	021A
	021B
	021C
	021D
	021E
	021F
	0220
	0221
	0222
	0223
	0224
	0225
	0226
	0227
	0228
	0229
	022A
	022B
	022C
	022D
	022E
	022F
	0230
	0231
	0232
	0233
	0234
	0235
	0236
	0237
	0238
	0239
	023A
	023B
	023C
	023D
	023E
	023F
Venusaurite	0240
CharizarditeX	0241
CharizarditeY	0242
Blastoisnite	02D8
Beedrillite	02D9
Pidgeotite	02DA
Alakazite	02DB
Slowbronite	02DC
Gengarite	02DD
Kangaskanite	02DE
Pinsirite	02DF
Gyaradosite	02E0
Aerodactlite	02E1
MewtwoniteX	02E2
MewtwoniteY	02E3
Ampharosite	02E4
Steelixite	02E5
Scizorite	02E7
Heracronite	02E8
Houndoomnite	02E9
Tyranitarite	0243
Sceptilite	
Blazikenite	
Swampertite	
Gardevoirite	0244
Sablenite	0245
Mawilite	0246
Aggronite	0247
Medichamite	0248
Manectite	0249
Sharpedonite	024A
Cameruptite	024B
Altarianite	024C
Banettite	024D
Absolite	024E
Glalitite	024F
Salamencite	0250
Metagrossite	0251
Latiasite	0252
Latiosite	0253
Lopunnite	0254
Garchompite	0255
Lucarionite	0256
Abomasite	0257
Galladite	0258
Audinite	0259
Machampite	025A
Laprasite	025B
Butterfrite	025C
Garbodorite	025D
Snorlaxite	025E
Kinglerite	025F
Toxtricitite	0260
Coalossite	0261
Duraludite	0262
Drednawite	0263
Copperajite	0264
Applite	0265
Orbeetlite	0214
Grimmsnite	
Centiskite	
Sandacondite	
Alcremite	0049
Diancite	004A
X Attack	004B
X Defend	004C
X Speed	004D
X Accuracy	004E
X SpAtk	004F
Poke Doll	0050
Fluffy Tail	0051
BalmMushroom	0069
Pearl	006A
Big Pearl	006B
Stardust	006C
Star Piece	006D
Nugget	006E
Big Nugget	0073
Rare Bone	0070
Pearl String	0071
Comet Shard	0072
Honey	0074
Pretty Wing	0075
